Mean Intensity,Duration,Label
5.278307692,65,1
5.343076923,13,1
3.869230769,65,1
2.604285714,14,1
4.261111111,9,1
3.477,10,1
5.343076923,13,1
5.445454545,11,1
3.869230769,65,1
5.278307692,65,1
5.278307692,65,1
0.48,2,0
0.09,1,0
0.845,4,0
0.24,2,0
1.649,10,0
3.89,1,0
1.175,2,0
4.023636364,11,0
8.00125,8,0
0.08,1,0
0.16,1,0
1.666666667,9,0
0.01,1,0
1.488333333,6,0
1.595384615,26,0
0.396666667,3,0
2.436666667,3,0
0.83,1,0
0.72,1,0
0.055,2,0
3.156666667,12,0
0.353333333,3,0
0.6125,8,0
0.858333333,6,0
0.265,4,0
1.123333333,3,0
0.715,2,0
0.15,1,0
0.385,2,0
0.858,5,0
0.288333333,6,0
0.183333333,3,0
0.855,6,0
0.91,1,0
0.615,2,0
2.835945946,37,0
0.04,1,0
0.4025,4,0
0.14,1,0
0.02,1,0
1.305,2,0
0.08,1,0
0.22,1,0
3.13,11,0
0.815,2,0
0.563333333,3,0
0.095,2,0
0.43,1,0
0.235,2,0
0.22,3,0
1.424,5,0
1.672,5,0
0.24,1,0
1.502857143,7,0
2.911764706,34,0
0.853333333,3,0
0.703333333,6,0
0.816666667,3,0
0.9175,4,0
1.203333333,3,0
0.43,3,0
1.675,2,0
0.42,1,0
0.84,1,0
0.854285714,7,0
0.1,1,0
0.956,5,0
0.09,1,0
0.396666667,3,0
0.95,2,0
2.66,4,0
0.15,4,0
0.463333333,3,0
1.3675,8,0
1.678181818,11,0
1.55,2,0
0.01,1,0
4.67,11,0
0.881666667,6,0
4.327142857,14,0
0.36,1,0
3.986111111,18,0
1.51,2,0
0.968,5,0
3.41,10,0
1.856666667,9,0
1.885,2,0
1.931428571,7,0
3.87,3,0
3.495245902,61,0
3.475454545,11,0
2.08,1,0
0.24,1,0
1.36,6,0
0.305,4,0
0.915,4,0
0.27,1,0
1.78,3,0
0.8,1,0
0.475,4,0
0.69,2,0
0.77,1,0
0.17,3,0
1.17,4,0
5.310540541,37,0
0.3,1,0
1.090909091,11,0
0.14,1,0
0.45,5,0
1.67875,8,0
1.075,4,0
0.592,10,0
1.699411765,17,0
0.785,6,0
0.662,10,0
3.64,3,0
0.01,1,0
0.29,1,0
0.3,1,0
4.65,1,0
0.12,2,0
0.767142857,7,0
0.46,3,0
0.6125,4,0
0.6,4,0
1.365294118,17,0
1.016666667,3,0
0.18,1,0
0.185,2,0
0.16,1,0
0.01,1,0
6.876,5,0
2.3225,4,0
0.05,1,0
0.25,1,0
1.041428571,7,0
0.01,1,0
3.913333333,9,0
3.314166667,12,0
0.455,2,0
0.525,4,0
0.11,1,0
0.1,1,0
0.175,2,0
0.81,2,0
0.11,1,0
2.17,3,0
1.865,2,0
1.545,2,0
0.07,1,0
0.175,2,0
0.01,1,0
0.316666667,3,0
0.27,2,0
0.18,2,0
0.303333333,3,0
1.464285714,14,0
1.61,1,0
4.036315789,38,0
1.694285714,7,0
1.688333333,6,0
2.848,25,0
0.28,1,0
0.4,1,0
0.73,4,0
1.085,10,0
1.034545455,11,0
1.3,1,0
1.295,2,0
0.2,1,0
0.61,2,0
0.165,2,0
0.445,2,0
0.365714286,7,0
4.445952381,84,0
0.541666667,6,0
1.398333333,6,0
1.206666667,3,0
0.01,1,0
0.65,6,0
0.11,1,0
0.1,1,0
0.155,2,0
0.03,1,0
1.636666667,3,0
0.74,2,0
0.406666667,3,0
0.78,1,0
0.59,4,0
0.2,2,0
1.135,4,0
0.836,5,0
0.08,1,0
1.134,5,0
1.163333333,3,0
1.61,2,0
1.03875,8,0
0.41,1,0
0.245,2,0
0.875,8,0
0.535,6,0
0.36,1,0
0.426666667,3,0
0.12,1,0
0.14,1,0
2.950909091,11,0
0.123333333,3,0
3.969333333,15,1
3.636666667,78,1
3.969333333,15,1
3.39,6,1
3.636666667,78,1
2.9375,4,1
3.605714286,7,1
3.636666667,78,1
3.636666667,78,1
5.399230769,13,1
2.4,4,1
2.4,4,1
2.886666667,6,1
2.5575,4,1
2.9375,4,1
5.399230769,13,1
5.399230769,13,1
3.241363636,22,1
3.241363636,22,1
4.952142857,42,1
3.636666667,78,1
5.378196721,61,1
2.9375,4,1
5.378196721,61,1
4.198666667,15,1
3.636666667,78,1
3.241363636,22,1
3.241363636,22,1
3.03,11,1
4.198666667,15,1
3.636666667,78,1
3.636666667,78,1
3.969333333,15,1
3.636666667,78,1
3.241363636,22,1
3.241363636,22,1
3.969333333,15,1
4.952142857,42,1
3.636666667,78,1
3.605714286,7,1
3.605714286,7,1
4.198666667,15,1
4.198666667,15,1
5.451,10,1
2.9375,4,1
2.4,4,1
5.378196721,61,1
5.399230769,13,1
3.241363636,22,1
2.886666667,6,1
3.969333333,15,1
3.241363636,22,1
4.322380952,63,1
2.9375,4,1
3.241363636,22,1
4.198666667,15,1
4.198666667,15,1
3.241363636,22,1
2.4,4,1
3.241363636,22,1
3.636666667,78,1
5.399230769,13,1
3.636666667,78,1
3.636666667,78,1
5.378196721,61,1
5.378196721,61,1
4.952142857,42,1
2.4,4,1
4.198666667,15,1
3.636666667,78,1
5.399230769,13,1
3.241363636,22,1
3.636666667,78,1
3.636666667,78,1
3.969333333,15,1
0.235,2,0
0.19,1,0
2.502,5,0
0.58,1,0
0.06,1,0
1.368,10,0
1.77,3,0
0.92,1,0
4.392727273,11,0
5.289230769,13,0
2.051111111,9,0
0.03,1,0
2.176666667,3,0
1.043333333,3,0
2.006315789,19,0
0.11,1,0
0.7275,4,0
2.71,3,0
1.07,1,0
0.41,1,0
1.275,4,0
1.286666667,12,0
0.545,2,0
1.177272727,11,0
0.01,1,0
0.28,1,0
0.06,1,0
0.68,3,0
0.32,1,0
0.14,1,0
0.466666667,3,0
1.09875,8,0
0.185,2,0
0.455,2,0
1.1,1,0
0.616,5,0
0.095,2,0
1.748333333,6,0
2.22483871,31,0
1.09,1,0
0.306666667,3,0
4.207692308,13,0
1.18,1,0
2.025,4,0
0.09,1,0
0.34,1,0
0.253333333,3,0
1.928333333,6,0
0.5725,4,0
0.24,1,0
2.33,9,0
